gameID,condition,stim_id,study_phase,trial_type,trialNum,response,rt,rt_done1,rt_done2,collection_name_0,collection_name_1,level_name_0,level_name_1,layout_0,layout_1
5997-2f89a1e4-e916-4927-b48d-8cdc44be580f,difficult,6790957196019241f9c4f6c2,pretest,sokoban-compare,3,1,30031,15497.0,29398.0,Microban,Sokogen-990602-Levels,67,32,"['#####', '#   ##', '# #  #', '#@$*.##', '##  . #', ' # $# #', ' ##   #', '  #####']","['#######', '##   ##', '## #.##', '#  $.##', '# # $ #', '#  * @#', '#######']"
2559-6a1182e8-a4d0-46f1-889c-ba19cfc41694,difficult,6790957496019241f9c4f732,posttest,sokoban-compare,5,1,125303,74905.0,124726.0,Sokogen-990602-Levels,Sokogen-990602-Levels,38,35,"['#####', '#. .####', '#$$    #', '#@$#   #', '# .    #', '########']","['######', '#@ * ###', '# #    #', '#.$$.# #', '#      #', '########']"
1542-641d29f1-d346-458f-b9b0-826c11b1d2b5,enjoyable,6790956f96019241f9c4f67e,posttest,sokoban-compare,2,1,30402,17270.0,29247.0,Sokogen-990602-Levels,Sokogen-990602-Levels,14,40,"['######', '#  . #', '# #. ##', '#  .  #', '# $$$ #', '#  # @#', '#######']","['######', '#    ###', '# @#$  #', '# *.$  #', '# . #  #', '########']"
2709-22802cd2-dc98-453f-b490-8d842488d319,difficult,6790957496019241f9c4f72c,posttest,sokoban-compare,8,0,25413,11212.0,24644.0,Sokogen-990602-Levels,Sokogen-990602-Levels,18,35,"['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']","['######', '#@ * ###', '# #    #', '#.$$.# #', '#      #', '########']"
8565-a45990d5-10ca-4a98-b2c3-bfd4431bd618,difficult,6790957496019241f9c4f731,posttest,sokoban-compare,2,1,30054,17467.0,28353.0,Sokogen-990602-Levels,Sokogen-990602-Levels,18,38,"['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']","['#####', '#. .####', '#$$    #', '#@$#   #', '# .    #', '########']"
4435-a0d3e22c-6de9-484e-8401-d278cbef6a30,enjoyable,6790957496019241f9c4f729,posttest,sokoban-compare,7,0,58460,21730.0,56219.0,Sokogen-990602-Levels,Sokogen-990602-Levels,19,6,"['######', '#@  .#', '#$$$ #', '#. # #', '#  . #', '######']","[' #####', '##   ###', '# .# $@#', '#  # # #', '# *  $.#', '#    ###', '######']"
5997-2f89a1e4-e916-4927-b48d-8cdc44be580f,difficult,6790957196019241f9c4f6c2,pretest,sokoban-compare,4,0,31697,12697.0,27030.0,Microban,Sokogen-990602-Levels,104,35,"['    #####', '#####   #', '#    $  #', '#  $#$#@#', '### #   #', '  # ... #', '  ###  ##', '    #  #', '    ####']","['######', '#@ * ###', '# #    #', '#.$$.# #', '#      #', '########']"
1542-641d29f1-d346-458f-b9b0-826c11b1d2b5,enjoyable,6790956f96019241f9c4f67e,posttest,sokoban-compare,3,1,26708,12260.0,25602.0,Microban,Microban,17,43,"['#####', '# @ #', '#...#', '#$$$##', '#    #', '#    #', '######']","['     ####', '     # @#', '     #  #', '###### .#', '#   $  .#', '#  $$# .#', '#    ####', '###  #', '  ####']"
4886-37e01c4d-7b66-4c83-9f3f-30a430ebeb25,difficult,6790957396019241f9c4f70e,posttest,sokoban-compare,2,1,43933,15384.0,40194.0,Sokogen-990602-Levels,Microban,19,41,"['######', '#@  .#', '#$$$ #', '#. # #', '#  . #', '######']","['#######', '#     #', '#@$$$ ##', '#  #...#', '##    ##', ' ######']"
8565-a45990d5-10ca-4a98-b2c3-bfd4431bd618,difficult,6790957496019241f9c4f731,posttest,sokoban-compare,3,1,26758,12440.0,25177.0,Sokogen-990602-Levels,Sokogen-990602-Levels,13,18,"['######', '#@   ##', '# .$* ##', '# #$.  #', '#      #', '########']","['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']"
5997-2f89a1e4-e916-4927-b48d-8cdc44be580f,difficult,6790957196019241f9c4f6c2,pretest,sokoban-compare,5,0,24898,11031.0,23500.0,Sokogen-990602-Levels,Sokogen-990602-Levels,18,38,"['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']","['#####', '#. .####', '#$$    #', '#@$#   #', '# .    #', '########']"
1542-641d29f1-d346-458f-b9b0-826c11b1d2b5,enjoyable,6790956f96019241f9c4f67e,posttest,sokoban-compare,4,0,32035,17635.0,30879.0,Sokogen-990602-Levels,Microcosmos,41,28,"['######', '#    #', '# ## ##', '# .$@.###', '## $$   #', ' #  #.  #', ' ########']","['     ####', '    ##  #', '   ## . #', '#### $  #', '# $ $.@##', '#  .  ##', '#######']"
8565-a45990d5-10ca-4a98-b2c3-bfd4431bd618,difficult,6790957496019241f9c4f731,posttest,sokoban-compare,4,0,24901,11731.0,22967.0,Microban,Sokogen-990602-Levels,67,13,"['#####', '#   ##', '# #  #', '#@$*.##', '##  . #', ' # $# #', ' ##   #', '  #####']","['######', '#@   ##', '# .$* ##', '# #$.  #', '#      #', '########']"
4435-a0d3e22c-6de9-484e-8401-d278cbef6a30,enjoyable,6790957496019241f9c4f729,posttest,sokoban-compare,8,1,51041,36585.0,48584.0,Sokogen-990602-Levels,Dimitri-and-Yorick,17,37,"['#####', '#@  ###', '# $$$ #', '## ...#', '#   # #', '#     #', '#######']","['######', '# @$.#', '# $$.#', '#  #.#', '#    #', '######']"
4886-37e01c4d-7b66-4c83-9f3f-30a430ebeb25,difficult,6790957396019241f9c4f70e,posttest,sokoban-compare,3,1,39236,17639.0,34388.0,Sokogen-990602-Levels,Dimitri-and-Yorick,17,37,"['#####', '#@  ###', '# $$$ #', '## ...#', '#   # #', '#     #', '#######']","['######', '# @$.#', '# $$.#', '#  #.#', '#    #', '######']"
2559-6a1182e8-a4d0-46f1-889c-ba19cfc41694,difficult,6790957496019241f9c4f732,posttest,sokoban-compare,6,0,85735,64719.0,85122.0,Sokogen-990602-Levels,Microban,32,104,"['#######', '##   ##', '## #.##', '#  $.##', '# # $ #', '#  * @#', '#######']","['    #####', '#####   #', '#    $  #', '#  $#$#@#', '### #   #', '  # ... #', '  ###  ##', '    #  #', '    ####']"
8565-a45990d5-10ca-4a98-b2c3-bfd4431bd618,difficult,6790957496019241f9c4f731,posttest,sokoban-compare,5,1,23308,11115.0,22497.0,Microban,Sokogen-990602-Levels,67,35,"['#####', '#   ##', '# #  #', '#@$*.##', '##  . #', ' # $# #', ' ##   #', '  #####']","['######', '#@ * ###', '# #    #', '#.$$.# #', '#      #', '########']"
5997-2f89a1e4-e916-4927-b48d-8cdc44be580f,difficult,6790957196019241f9c4f6c2,pretest,sokoban-compare,6,0,43396,20599.0,39333.0,Sokogen-990602-Levels,Sokogen-990602-Levels,13,18,"['######', '#@   ##', '# .$* ##', '# #$.  #', '#      #', '########']","['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']"
1542-641d29f1-d346-458f-b9b0-826c11b1d2b5,enjoyable,6790956f96019241f9c4f67e,posttest,sokoban-compare,5,1,35789,22525.0,34967.0,Microban,Microban,26,17,"[' #####', ' # @ #', ' #   #', '###$ #', '# ...#', '# $$ #', '###  #', '  ####']","['#####', '# @ #', '#...#', '#$$$##', '#    #', '#    #', '######']"
8565-a45990d5-10ca-4a98-b2c3-bfd4431bd618,difficult,6790957496019241f9c4f731,posttest,sokoban-compare,6,0,25656,12510.0,24179.0,Sokogen-990602-Levels,Microban,32,104,"['#######', '##   ##', '## #.##', '#  $.##', '# # $ #', '#  * @#', '#######']","['    #####', '#####   #', '#    $  #', '#  $#$#@#', '### #   #', '  # ... #', '  ###  ##', '    #  #', '    ####']"
5997-2f89a1e4-e916-4927-b48d-8cdc44be580f,difficult,6790957196019241f9c4f6c2,pretest,sokoban-compare,7,1,37898,20364.0,33665.0,Sokogen-990602-Levels,Sokogen-990602-Levels,38,34,"['#####', '#. .####', '#$$    #', '#@$#   #', '# .    #', '########']","['########', '##@ ####', '##$$   #', '#  $ # #', '# # ...#', '#   ####', '########']"
4886-37e01c4d-7b66-4c83-9f3f-30a430ebeb25,difficult,6790957396019241f9c4f70e,posttest,sokoban-compare,4,1,56054,31016.0,54363.0,Sokogen-990602-Levels,Microban,19,48,"['######', '#@  .#', '#$$$ #', '#. # #', '#  . #', '######']","['######', '#  @ #', '#  # ##', '# .#  ##', '# .$$$ #', '# .#   #', '####   #', '   #####']"
5355-8dbd22b4-3091-4ec7-8d01-efb47d06ce96,enjoyable,6790957196019241f9c4f6d1,posttest,sokoban-compare,1,1,28142,11906.0,24718.0,Microcosmos,Sokogen-990602-Levels,28,46,"['     ####', '    ##  #', '   ## . #', '#### $  #', '# $ $.@##', '#  .  ##', '#######']","['#######', '##  ###', '## .$ #', '# $$  #', '# #. .#', '#@  ###', '#######']"
8565-a45990d5-10ca-4a98-b2c3-bfd4431bd618,difficult,6790957496019241f9c4f731,posttest,sokoban-compare,7,0,25091,11186.0,22784.0,Microban,Sokogen-990602-Levels,104,35,"['    #####', '#####   #', '#    $  #', '#  $#$#@#', '### #   #', '  # ... #', '  ###  ##', '    #  #', '    ####']","['######', '#@ * ###', '# #    #', '#.$$.# #', '#      #', '########']"
1542-641d29f1-d346-458f-b9b0-826c11b1d2b5,enjoyable,6790956f96019241f9c4f67e,posttest,sokoban-compare,6,1,53034,28307.0,51882.0,Microban,Sokogen-990602-Levels,43,46,"['     ####', '     # @#', '     #  #', '###### .#', '#   $  .#', '#  $$# .#', '#    ####', '###  #', '  ####']","['#######', '##  ###', '## .$ #', '# $$  #', '# #. .#', '#@  ###', '#######']"
5355-8dbd22b4-3091-4ec7-8d01-efb47d06ce96,enjoyable,6790957196019241f9c4f6d1,posttest,sokoban-compare,2,0,26180,11317.0,24547.0,Sokogen-990602-Levels,Sokogen-990602-Levels,14,46,"['######', '#  . #', '# #. ##', '#  .  #', '# $$$ #', '#  # @#', '#######']","['#######', '##  ###', '## .$ #', '# $$  #', '# #. .#', '#@  ###', '#######']"
