project,experiment,iteration,stim_id,gameID,condition,study_phase,trialNum,stimuli_set,author_name,collection_name,level_name,width,height,layout,boxes,start_position.x,start_position.y,select_response,select_rt,rate_response,rate_rt,solveDuration,solved,attempt_nsteps,attempt_nInputEvents,boxesSolved
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f693,8498-7e0986a7-3f38-4667-9b8d-ca68dbbbee16,difficult,test,4,A,jacques-duthen,Sokogen-990602-Levels,18,7.0,7.0,"['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']","[{'x': 1, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}]",4.0,3.0,3.0,3834.6999999284744,10.0,2009.0,,0,154,535,2
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f68f,5653-dfcb6dfa-3014-4033-875d-85592e44c67c,difficult,test,4,A,jacques-duthen,Sokogen-990602-Levels,18,7.0,7.0,"['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']","[{'x': 1, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}]",4.0,3.0,3.0,2303.0,10.0,2165.0,,0,183,224,2
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f675,0808-1234c64f-ccf4-46a1-bc6f-6827478f2d8e,difficult,test,7,A,jacques-duthen,Sokogen-990602-Levels,35,8.0,6.0,"['######', '#@ * ###', '# #    #', '#.$$.# #', '#      #', '########']","[{'x': 3, 'y': 1, 'state': '*'}, {'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}]",1.0,1.0,7.0,1546.7999999523163,10.0,2744.0,,0,68,92,2
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f670,3592-7763f518-8340-496a-83e4-72958bed2b0a,difficult,test,5,A,jacques-duthen,Sokogen-990602-Levels,32,7.0,7.0,"['#######', '##   ##', '## #.##', '#  $.##', '# # $ #', '#  * @#', '#######']","[{'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}, {'x': 3, 'y': 5, 'state': '*'}]",5.0,5.0,2.0,38322.5,4.0,1438.0,51.0,1,48,50,3
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f694,1596-edd316b7-6662-437d-b77f-fe95f4e07675,difficult,test,4,A,jacques-duthen,Sokogen-990602-Levels,13,8.0,6.0,"['######', '#@   ##', '# .$* ##', '# #$.  #', '#      #', '########']","[{'x': 3, 'y': 2, 'state': '$'}, {'x': 4, 'y': 2, 'state': '*'}, {'x': 3, 'y': 3, 'state': '$'}]",1.0,1.0,1.0,15470.400000095367,6.0,1336.0,167.0,1,131,146,3
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f68c,4716-1b2723d0-ff1a-41ed-8ea9-bceb42bd14ce,difficult,test,5,A,david-w-skinner,Microban,104,9.0,9.0,"['    #####', '#####   #', '#    $  #', '#  $#$#@#', '### #   #', '  # ... #', '  ###  ##', '    #  #', '    ####']","[{'x': 5, 'y': 2, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}, {'x': 5, 'y': 3, 'state': '$'}]",7.0,3.0,4.0,1463.1000000238419,10.0,2140.0,,0,44,99,1
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f68b,4896-b66aacea-64dd-49d3-a2ef-7ab7dcb4dd82,difficult,test,5,A,david-w-skinner,Microban,104,9.0,9.0,"['    #####', '#####   #', '#    $  #', '#  $#$#@#', '### #   #', '  # ... #', '  ###  ##', '    #  #', '    ####']","[{'x': 5, 'y': 2, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}, {'x': 5, 'y': 3, 'state': '$'}]",7.0,3.0,4.0,3551.699999988079,10.0,3615.0,,0,187,292,1
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f680,5808-784eccb3-6c57-47b0-b644-b30e7354513c,enjoyable,test,8,A,jacques-duthen,Sokogen-990602-Levels,35,8.0,6.0,"['######', '#@ * ###', '# #    #', '#.$$.# #', '#      #', '########']","[{'x': 3, 'y': 1, 'state': '*'}, {'x': 2, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}]",1.0,1.0,7.0,1304.300000011921,1.0,2824.0,,0,173,198,2
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f67d,9452-adc2ff0b-2602-4162-a90b-ba6db4c203ce,enjoyable,test,5,A,jacques-duthen,Sokogen-990602-Levels,34,8.0,7.0,"['########', '##@ ####', '##$$   #', '#  $ # #', '# # ...#', '#   ####', '########']","[{'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}]",2.0,1.0,6.0,5178.0,2.0,1825.0,,0,79,213,0
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f66f,9875-77c31433-07e1-4aef-a4e5-043f15ecb034,difficult,test,6,A,jacques-duthen,Sokogen-990602-Levels,34,8.0,7.0,"['########', '##@ ####', '##$$   #', '#  $ # #', '# # ...#', '#   ####', '########']","[{'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}]",2.0,1.0,6.0,5945.0,10.0,2191.0,,0,22,90,0
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f674,6186-32e70ee4-7ac6-4d03-856c-c7e9ef8aba13,difficult,test,7,A,jacques-duthen,Sokogen-990602-Levels,34,8.0,7.0,"['########', '##@ ####', '##$$   #', '#  $ # #', '# # ...#', '#   ####', '########']","[{'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}]",2.0,1.0,6.0,890.7999999523163,9.0,3190.0,,0,178,205,1
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f695,5829-72ec2758-b054-405d-84af-93958e222f07,difficult,test,4,A,jacques-duthen,Sokogen-990602-Levels,34,8.0,7.0,"['########', '##@ ####', '##$$   #', '#  $ # #', '# # ...#', '#   ####', '########']","[{'x': 2, 'y': 2, 'state': '$'}, {'x': 3, 'y': 2, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}]",2.0,1.0,6.0,2884.0,10.0,3314.0,,0,20,51,0
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f682,9700-3f1fa752-1627-427b-862c-3c37ccdd3eab,enjoyable,test,3,A,jacques-duthen,Sokogen-990602-Levels,32,7.0,7.0,"['#######', '##   ##', '## #.##', '#  $.##', '# # $ #', '#  * @#', '#######']","[{'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}, {'x': 3, 'y': 5, 'state': '*'}]",5.0,5.0,2.0,2565.7000000476837,4.0,2171.0,,0,34,56,2
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f676,0209-82f8d7b1-7d8c-421b-becd-e2fc43eb28b8,difficult,test,6,A,jacques-duthen,Sokogen-990602-Levels,38,8.0,6.0,"['#####', '#. .####', '#$$    #', '#@$#   #', '# .    #', '########']","[{'x': 1, 'y': 2, 'state': '$'}, {'x': 2, 'y': 2, 'state': '$'}, {'x': 2, 'y': 3, 'state': '$'}]",1.0,3.0,5.0,3984.0999999940395,10.0,3564.0,,0,124,230,2
fun-puzzles,fun-puzzles-exp1,production2,6790957096019241f9c4f687,8829-549a72ed-1db2-424f-ba1f-171c5a187085,enjoyable,test,6,A,jacques-duthen,Sokogen-990602-Levels,18,7.0,7.0,"['#######', '#  ####', '#   ###', '#$ $@##', '#. #$ #', '#  . .#', '#######']","[{'x': 1, 'y': 3, 'state': '$'}, {'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}]",4.0,3.0,3.0,2544.5,2.0,1581.0,,0,17,19,0
fun-puzzles,fun-puzzles-exp1,production2,6790956f96019241f9c4f673,8970-248ef224-45f0-409b-b3f9-00ecd37777f1,difficult,test,4,A,jacques-duthen,Sokogen-990602-Levels,32,7.0,7.0,"['#######', '##   ##', '## #.##', '#  $.##', '# # $ #', '#  * @#', '#######']","[{'x': 3, 'y': 3, 'state': '$'}, {'x': 4, 'y': 4, 'state': '$'}, {'x': 3, 'y': 5, 'state': '*'}]",5.0,5.0,2.0,23078.199999999255,9.0,2061.0,,0,43,74,2
