gameID,condition,study_phase,stimuli_set,puzzle_id,elo,mElo,sdElo,eloMin,eloMax,mElo_rank
8022-b74b9924-ed47-4184-91bf-2557f1bc8c96,difficult,pretest,B,Microba 33,-1,-0.14,5.897896674678615,-13,13,4
8022-b74b9924-ed47-4184-91bf-2557f1bc8c96,difficult,pretest,B,Microba 41,94,92.591,4.802789375538549,85,100,7
8022-b74b9924-ed47-4184-91bf-2557f1bc8c96,difficult,pretest,B,Microba 48,-93,-86.367,4.754462736831136,-93,-79,3
8022-b74b9924-ed47-4184-91bf-2557f1bc8c96,difficult,pretest,B,Sokogen 17,100,93.104,4.620447222134739,86,100,8
8022-b74b9924-ed47-4184-91bf-2557f1bc8c96,difficult,pretest,B,Sokogen 19,0,0.119,5.9883803903642985,-13,13,5
8022-b74b9924-ed47-4184-91bf-2557f1bc8c96,difficult,pretest,B,Sokogen 39,-93,-92.557,4.888010192669782,-100,-85,2
8022-b74b9924-ed47-4184-91bf-2557f1bc8c96,difficult,pretest,B,Sokogen 6,-87,-93.099,4.6416315820779825,-100,-86,1
8041-e1e4a268-ea82-4b76-b01d-b359b53f910f,difficult,posttest,B,Dimitri 37,-99,-92.567,4.941044922374713,-100,-85,2
8041-e1e4a268-ea82-4b76-b01d-b359b53f910f,difficult,posttest,B,Microba 33,0,6.691,8.010973392459551,-7,20,6
8041-e1e4a268-ea82-4b76-b01d-b359b53f910f,difficult,posttest,B,Microba 41,-1,-6.674,8.563706035418374,-21,7,3
8041-e1e4a268-ea82-4b76-b01d-b359b53f910f,difficult,posttest,B,Microba 48,6,0.327,5.977440990992783,-13,14,5
8041-e1e4a268-ea82-4b76-b01d-b359b53f910f,difficult,posttest,B,Sokogen 17,93,99.29,4.51533922184017,93,106,8
8041-e1e4a268-ea82-4b76-b01d-b359b53f910f,difficult,posttest,B,Sokogen 19,7,-0.036,5.857560500329033,-14,14,4
8041-e1e4a268-ea82-4b76-b01d-b359b53f910f,difficult,posttest,B,Sokogen 39,-106,-99.854,4.656002831008851,-107,-93,1
8041-e1e4a268-ea82-4b76-b01d-b359b53f910f,difficult,posttest,B,Sokogen 6,100,92.823,5.2397639380153525,85,101,7
8041-e1e4a268-ea82-4b76-b01d-b359b53f910f,difficult,pretest,C,Microba 17,100,99.598,4.62728946661089,93,107,8
8041-e1e4a268-ea82-4b76-b01d-b359b53f910f,difficult,pretest,C,Microba 26,8,0.397,5.9456489756579085,-13,14,5
8041-e1e4a268-ea82-4b76-b01d-b359b53f910f,difficult,pretest,C,Microba 43,-7,-0.668,10.275668609164324,-14,14,4
8041-e1e4a268-ea82-4b76-b01d-b359b53f910f,difficult,pretest,C,Microco 28,-100,-93.644,4.965875947295076,-101,-86,1
8041-e1e4a268-ea82-4b76-b01d-b359b53f910f,difficult,pretest,C,Sokogen 14,93,86.239,4.862254674584695,78,93,7
8041-e1e4a268-ea82-4b76-b01d-b359b53f910f,difficult,pretest,C,Sokogen 40,0,-6.145,8.375208601528637,-21,7,3
8041-e1e4a268-ea82-4b76-b01d-b359b53f910f,difficult,pretest,C,Sokogen 41,-1,7.161,8.49619116217757,-7,22,6
8041-e1e4a268-ea82-4b76-b01d-b359b53f910f,difficult,pretest,C,Sokogen 46,-93,-92.938,4.529975350559506,-100,-86,2
8064-35b68e26-0752-437f-8c8e-82e1e3a0e4a1,enjoyable,posttest,C,Microba 17,100,99.478,4.715480012867382,93,107,8
8064-35b68e26-0752-437f-8c8e-82e1e3a0e4a1,enjoyable,posttest,C,Microba 26,-20,-6.944,8.649374293882492,-21,7,3
8064-35b68e26-0752-437f-8c8e-82e1e3a0e4a1,enjoyable,posttest,C,Microba 43,13,0.305,10.20186517520466,-14,14,4
8064-35b68e26-0752-437f-8c8e-82e1e3a0e4a1,enjoyable,posttest,C,Microco 28,-93,-93.263,4.926672619842219,-101,-86,1
8064-35b68e26-0752-437f-8c8e-82e1e3a0e4a1,enjoyable,posttest,C,Sokogen 14,0,7.157,8.472197420334878,-7,22,6
8064-35b68e26-0752-437f-8c8e-82e1e3a0e4a1,enjoyable,posttest,C,Sokogen 40,7,0.337,6.007288782680477,-13,14,5
8064-35b68e26-0752-437f-8c8e-82e1e3a0e4a1,enjoyable,posttest,C,Sokogen 41,-92,-93.114,4.597405805466827,-100,-86,2
8064-35b68e26-0752-437f-8c8e-82e1e3a0e4a1,enjoyable,posttest,C,Sokogen 46,85,86.044,4.729739362209563,78,93,7
8064-35b68e26-0752-437f-8c8e-82e1e3a0e4a1,enjoyable,pretest,A,Microba 104,93,93.043,4.665932052861688,86,100,7
8064-35b68e26-0752-437f-8c8e-82e1e3a0e4a1,enjoyable,pretest,A,Microba 67,-13,-0.347,10.203661387252419,-14,14,4
8064-35b68e26-0752-437f-8c8e-82e1e3a0e4a1,enjoyable,pretest,A,Sokogen 13,-93,-86.142,4.8424462088169165,-93,-78,2
8064-35b68e26-0752-437f-8c8e-82e1e3a0e4a1,enjoyable,pretest,A,Sokogen 18,7,-6.974,8.670784653450132,-22,7,3
8064-35b68e26-0752-437f-8c8e-82e1e3a0e4a1,enjoyable,pretest,A,Sokogen 32,-8,-0.166,5.8626627751231695,-14,13,5
8064-35b68e26-0752-437f-8c8e-82e1e3a0e4a1,enjoyable,pretest,A,Sokogen 34,93,93.102,4.78314483101595,86,101,8
8064-35b68e26-0752-437f-8c8e-82e1e3a0e4a1,enjoyable,pretest,A,Sokogen 35,20,7.21,8.455376596781072,-7,21,6
8064-35b68e26-0752-437f-8c8e-82e1e3a0e4a1,enjoyable,pretest,A,Sokogen 38,-99,-99.726,4.655813634650837,-107,-93,1
8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,posttest,B,Dimitri 37,14,-0.078,10.63800183695618,-15,14,4
8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,posttest,B,Microba 33,-86,-86.333,4.480422433787357,-93,-79,2
8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,posttest,B,Microba 41,86,93.282,4.987519558994382,86,101,8
8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,posttest,B,Microba 48,86,86.201,4.634012631950092,79,93,7
8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,posttest,B,Sokogen 17,-14,0.192,10.548383971225402,-14,15,5
8074-3ebe9ff2-15ce-4490-b02c-59152c315e57,enjoyable,posttest,B,Sokogen 19,-14,-7.179,8.66718403399158,-21,7,3
