condition,stimuli_set,shr_mean,shr_ciLo,shr_ciHi
difficult,C,0.7723134061670711,0.6170882080421172,0.8746348031686311
enjoyable,C,0.808115175000755,0.6014414751782782,0.9009206853352791
difficult,A,0.813938236023025,0.6942435715373089,0.8902213789004212
enjoyable,B,0.8564693502512164,0.773616813136564,0.913954108565812
difficult,B,0.858932163924215,0.7570177718387565,0.9055913657892066
enjoyable,A,0.9089636029757516,0.8607277934127056,0.9430371019681756
