stimuli_set,puzzle_id,condition,n,rating_meanBoot,rating_ciLo,rating_mean,rating_ciHi,rating_median,rating_sd,posttest_mElo,pretest_mElo,posttest_mElo_meanBoot,pretest_mElo_meanBoot,posttest_mElo_ciLo,pretest_mElo_ciLo,posttest_mElo_ciHi,pretest_mElo_ciHi,pretest_prop_selected,posttest_prop_selected,pretest_selected,posttest_selected,pretest_appeared,posttest_appeared
A,Microba 104,difficult,45,9.066666666666666,8.609643774069319,9.076783807200004,9.514449404761905,10,1.5724907862137925,8.459051282051282,3.882380952380951,8.027377098142535,4.469289647478926,-14.478998886639676,-15.689053837876612,28.968203581081067,25.064201875000002,0.5238095238095238,0.5512820512820513,44,43,84,78
A,Microba 104,enjoyable,42,4.119047619047619,3.3487897484575226,4.104285131874276,4.976204318936877,3,2.7954874870691238,15.067707317073173,-10.688439024390245,15.365432252699204,-10.648661778446503,-3.518217387387389,-28.417552038183693,33.993420353618426,7.165388425925915,0.43902439024390244,0.5853658536585366,36,48,82,82
A,Microba 67,difficult,45,8.622222222222222,8.026741976351351,8.628525073903349,9.139546511627907,9,1.787442165483822,-9.253923076923078,-13.774095238095235,-9.094048035797417,-14.05192985962336,-30.614078194993414,-33.14147663120568,11.177230540780139,5.351668958333332,0.42857142857142855,0.44871794871794873,36,35,84,78
A,Microba 67,enjoyable,42,4.166666666666667,3.431213235294117,4.185034194728924,5.025675675675675,4,2.7489835519889336,-15.892365853658537,-9.09251219512195,-15.846952079163875,-8.958092907690816,-39.71684926470588,-27.39159973262032,8.127062906504056,9.396941918682783,0.45121951219512196,0.4146341463414634,37,34,82,82
A,Sokogen 13,difficult,45,7.355555555555556,6.61997619047619,7.356420149104885,8.043673355629876,8,2.496866723384216,-21.864871794871796,3.8908333333333314,-21.865232271195875,4.131082453439731,-42.11126545454546,-18.547258928571434,-2.1444655185758643,25.345731169985772,0.5238095238095238,0.38461538461538464,44,30,84,78
A,Sokogen 13,enjoyable,42,5.5,4.6040624999999995,5.475909015983738,6.472291666666668,4.5,3.1487512042620107,-6.616926829268289,2.620414634146345,-6.361476316160429,3.196919392134725,-29.99596069734345,-18.299728088235295,16.872300568181817,25.42929768018018,0.5121951219512195,0.4634146341463415,42,38,82,82
A,Sokogen 18,difficult,45,7.777777777777778,6.977751937984497,7.769716964139659,8.552704678362574,9,2.891121903100224,11.225820512820512,-6.091904761904763,10.95739926315297,-6.03805548437689,-10.683826251251254,-27.119356517857145,34.0567054054054,14.104842424242422,0.4642857142857143,0.5641025641025641,39,44,84,78
A,Sokogen 18,enjoyable,42,5.428571428571429,4.472181372549019,5.424647899296649,6.392488076311606,6,3.2320261495475067,0.9814634146341445,6.28565853658537,0.701797364463049,6.250526617039202,-16.777302491694357,-13.408441163003662,17.580100088652483,24.49950111111111,0.5365853658536586,0.5,44,41,82,82
A,Sokogen 32,difficult,45,7.133333333333334,6.288878205128206,7.113511155024495,7.90390625,8,2.743587565082027,-5.072769230769232,-2.306380952380951,-4.667811178317575,-2.195178183712828,-23.969019460227276,-21.176833879310344,14.35632530448717,14.749728571428571,0.4880952380952381,0.47435897435897434,41,37,84,78
A,Sokogen 32,enjoyable,42,5.357142857142857,4.4198658536585365,5.360599132674925,6.242424242424242,6,2.928592674351421,6.389170731707316,20.722853658536586,6.697229995684049,20.77642851150743,-8.865032113821135,-0.33063138544891696,25.58249140546006,41.374630833333335,0.6097560975609756,0.5365853658536586,50,44,82,82
A,Sokogen 34,difficult,45,8.6,7.886347402597403,8.599557095828985,9.19060559006211,10,2.209483691231548,0.7372820512820517,-6.077238095238095,0.8307950996529045,-6.425282856864191,-21.47057830634278,-26.642968333333332,22.538455021520804,15.397437625538016,0.4642857142857143,0.5,39,39,84,78
A,Sokogen 34,enjoyable,42,4.285714285714286,3.317003484320558,4.272133845880674,5.302906976744185,3,3.2929023026674953,-11.302804878048777,-11.48029268292683,-11.37817580030556,-11.572487719496523,-32.9591119047619,-32.93752438322368,10.846478689189189,9.85308682432432,0.43902439024390244,0.43902439024390244,36,36,82,82
A,Sokogen 35,difficult,45,8.688888888888888,8.166666666666666,8.687257422957332,9.195121951219512,10,1.8068332697419716,19.287871794871798,17.577238095238098,19.72521345717691,17.762766411916775,-2.86403214285714,-0.028717617007255395,41.18711210340775,36.05529602272727,0.5952380952380952,0.6025641025641025,50,47,84,78
A,Sokogen 35,enjoyable,42,4.690476190476191,3.7658874580067194,4.689971811990567,5.711607142857143,5,3.0402831642680055,16.535097560975608,0.12156097560975823,15.859613561959383,0.026145396957974344,-5.740289339339336,-19.62302256097561,35.608237179487176,21.572380079365075,0.5,0.5853658536585366,41,48,82,82
A,Sokogen 38,difficult,45,9.022222222222222,8.547470238095237,9.021375840374441,9.400106382978723,10,1.453661347471038,-3.518461538461541,2.899166666666663,-3.399955478266649,2.927594888315273,-22.415419885204084,-16.76085919642857,17.489534210526312,22.589066785714287,0.5119047619047619,0.47435897435897434,43,37,84,78
A,Sokogen 38,enjoyable,42,4.357142857142857,3.5530521783181364,4.34913187335739,5.14294425087108,4,2.7834127900083163,-5.1613414634146375,1.5107560975609755,-5.0887736181884415,1.8252880262462758,-25.46815842572062,-19.203838283208018,16.127426704545442,21.400294586983726,0.5121951219512195,0.47560975609756095,42,39,82,82
